"","id","PC","DE","QD","LE","TY","SP","FF","JF","CN"
"275",1,7799,"Strada Voroneţ","-",0.2679,"TR",42.07,46.5,0.82842,0.86
"276",1,7800,"Strada Ţiglina","-",0.1123,"TR",28.25,47.3,2.95049,0.86
"277",1,3295,"P-ţa E. Hurmuzachi","-",0.21397,"TR",13.48,34.9,3.14159,0.86
"278",1,3285,"Calea Griviţei","-",0.04227,"TR",30.45,33.3,8.15484,0.81
"279",1,3286,"Calea Victoriei","-",0.22149,"TR",9.13,31.3,8.41529,0.83
"280",1,7271,"Strada Henri Coandă","-",0.16906,"TR",7.65,38,8.96488,0.83
"281",1,7272,"Strada Nicolae Iorga","-",0.11019,"TR",2.91,40,9.74719,0.83
"282",1,3287,"P-ţa Romană","-",0.24319,"TR",4.47,30.9,9.31,0.9
"283",1,3288,"Calea Dorobanţilor / Strada Gheorge Enescu","-",0.19189,"TR",13.69,37.6,3.14159,0.89
"284",1,7273,"Strada Polonă","-",0.31592,"TR",25.61,29.6,1.17089,0.81
"285",1,3289,"Strada Aurel Vlaicu","-",0.22118,"TR",42.01,39.4,0,0.88
"286",1,7274,"Piata Dimitrie Orbescu","-",0.16879,"TR",20.7,40,3.54268,0.86
